source,taxonomy,window,code,name,taxonomy_class,measure_class,n_facts,n_filings,resolved_id,tier,confidence,rule,seen_in_train,in_crosswalk,declared_out_of_core,baseline_naive,gold
eurostat_na_item,gfs,holdout,D9_S1313,"Capital transfers, expenditure, of which to subsector local government (S1313)",standard,monetary,324,2,equity.capital,tier2_keyword,0.85,tier2:equity.capital:capital,True,False,False,,
eurostat_na_item,gfs,holdout,D9_S1314,"Capital transfers, expenditure, of which to subsector social security funds (S1314)",standard,monetary,324,2,equity.capital,tier2_keyword,0.85,tier2:equity.capital:capital,True,False,False,,
eurostat_na_item,gfs,train,TE,Total general government expenditure,standard,monetary,56043,30,,escalated,0.0,,True,False,True,,
eurostat_na_item,gfs,train,P3,Final consumption expenditure,standard,monetary,55887,30,,escalated,0.0,,True,False,True,,
eurostat_na_item,gfs,train,P2,Intermediate consumption,standard,monetary,55801,30,,escalated,0.0,,True,False,True,,
eurostat_na_item,gfs,train,OP5ANP,Gross capital formation and acquisitions less disposals of non-financial non-produced assets,standard,monetary,55649,30,equity.capital,tier2_keyword,0.85,tier2:equity.capital:capital,True,False,True,,
eurostat_na_item,gfs,train,D1,Compensation of employees,standard,monetary,55641,30,EXP_PersonnelCosts_Gov,tier1_exact,1.0,tier1:gfs:D1,True,True,False,,
eurostat_na_item,gfs,train,P51G,Gross fixed capital formation,standard,monetary,55606,30,ASSET_InfrastructureAssets,tier1_exact,1.0,tier1:gfs:P51G,True,True,False,,
eurostat_na_item,gfs,train,P5,Gross capital formation,standard,monetary,55603,30,equity.capital,tier2_keyword,0.85,tier2:equity.capital:capital,True,False,True,,
eurostat_na_item,gfs,train,D7,Other current transfers,standard,monetary,54826,30,EXP_GrantsAndSubsidiesPaid,tier1_exact,1.0,tier1:gfs:D7,True,True,False,,
eurostat_na_item,gfs,train,D9,Capital transfers,standard,monetary,54054,30,EXP_GrantsAndSubsidiesPaid,tier1_exact,1.0,tier1:gfs:D9,True,True,False,,
eurostat_na_item,gfs,train,P2_D29_D5_D8,"Intermediate consumption; other taxes on production; current taxes on income, wealth, etc.; adjustment for the change in pension entitlements",standard,monetary,53734,29,,escalated,0.0,,True,False,True,,
eurostat_na_item,gfs,train,D3,Subsidies,standard,monetary,53690,30,EXP_GrantsAndSubsidiesPaid,tier1_exact,1.0,tier1:gfs:D3,True,True,False,,
eurostat_na_item,gfs,train,D92,Investment grants,standard,monetary,53360,30,EXP_GrantsAndSubsidiesPaid,tier1_exact,1.0,tier1:gfs:D92,True,True,False,,
eurostat_na_item,gfs,train,NP,Acquisitions less disposals of non-financial non-produced assets,standard,monetary,52751,30,,escalated,0.0,,True,False,True,,
